Date,low_tension_domestic,oil_price_usd_barrel,lng_price_usd_MMBtu
2025-06-01,28.12,68.16900000000001,12.963
2025-05-01,28.12,62.16761904761905,11.678
2025-04-01,28.12,63.53666666666667,11.569
2025-03-01,28.12,68.23904761904762,13.118
2025-02-01,28.12,71.53315789473685,14.721
2025-01-01,28.12,75.74249999999999,14.126
2024-12-01,29.1,70.11809523809524,14.225
2024-11-01,29.1,69.95,14.025
2024-10-01,29.1,71.985,13.113
2024-09-01,29.88,70.236,13.09
2024-08-01,29.88,76.68318181818182,13.213
2024-07-01,29.88,81.80045454545454,11.995
2024-06-01,29.79,79.76736842105262,12.368
2024-05-01,29.79,80.02454545454545,10.847
2024-04-01,29.79,85.34727272727274,9.794
2024-03-01,29.89,81.27799999999999,8.99325
2024-02-01,29.89,77.249,8.82225
2024-01-01,29.89,74.15238095238095,10.0168181818
2023-12-01,28.7,71.9,13.05175
2023-11-01,28.7,77.685,15.4138095238
2023-10-01,28.7,85.63952380952381,15.2934090909
2023-09-01,27.74,89.425,13.1515
2023-08-01,27.74,81.38608695652174,11.7529545455
2023-07-01,27.74,76.0695,10.8811904762
2023-06-01,27.43,70.24809523809525,10.10725
2023-05-01,27.43,71.57818181818182,9.9006818182
2023-04-01,27.43,79.44631578947369,12.0110526316
2023-03-01,28.95,73.27782608695652,13.3504347826
2023-02-01,28.95,76.83263157894737,15.9625
2023-01-01,28.95,78.123,20.6855263158
2022-12-01,29.74,76.43714285714286,30.7171428571
2022-11-01,29.74,84.37047619047618,25.2177272727
2022-10-01,29.74,87.5547619047619,29.742
2022-09-01,30.17,84.25809523809524,44.6822727273
2022-08-01,30.17,93.66521739130435,54.1575
2022-07-01,30.17,101.619,41.1695
2022-06-01,27.94,114.83714285714285,29.5381818181818
2022-05-01,27.94,109.55238095238094,21.9377272727273
2022-04-01,27.94,101.7775,29.0147619047619
2022-03-01,25.44,108.50260869565217,38.7358695652174
2022-02-01,25.44,91.64105263157894,27.82325
2022-01-01,25.44,83.22200000000001,26.8283333333333
2021-12-01,24.11,71.71181818181819,37.4197826086957
2021-11-01,24.11,79.14750000000001,31.9635714285714
2021-10-01,24.11,81.47666666666666,35.0652380952381
2021-09-01,23.38,71.64619047619047,24.0629545454545
2021-08-01,23.38,67.73045454545455,16.6438636363636
2021-07-01,23.38,72.4852380952381,14.0968181818182
2021-06-01,22.55,71.37818181818182,12.0172727272727
2021-05-01,22.55,65.1695,10.0145
2021-04-01,22.55,61.71666666666666,7.89413043478261
2021-03-01,20.76,62.333043478260876,6.44347826086957
2021-02-01,20.76,59.04631578947369,7.16875
2021-01-01,20.76,52.008421052631576,20.4152380952381
2020-12-01,21.43,47.025,11.6089130434783
2020-11-01,21.43,40.93736842105263,6.82214285714286
2020-10-01,21.43,39.39590909090909,6.12181818181818
2020-09-01,19.6,39.63428571428571,4.60977272727273
2020-08-01,19.6,42.33904761904762,3.62571428571429
2020-07-01,19.6,40.710454545454546,2.28695652173913
2020-06-01,23.02,38.307272727272725,2.05045454545455
2020-05-01,23.02,28.5625,2.03214285714286
2020-04-01,23.02,16.547619047619047,2.12636363636364
2020-03-01,24.24,29.207727272727276,3.27886363636364
2020-02-01,24.24,50.54263157894737,2.92025
2020-01-01,24.24,57.519047619047626,4.91369565217391
2019-12-01,23.43,59.81666666666667,5.57340909090909
2019-11-01,23.43,57.048947368421054,5.45642857142857
2019-10-01,23.43,53.96304347826087,6.01739130434783
2019-09-01,24.22,56.947,5.05452380952381
2019-08-01,24.22,54.80590909090909,4.28022727272727
2019-07-01,24.22,57.35809523809524,4.41934782608696
2019-06-01,22.79,54.657500000000006,4.38925
2019-05-01,22.79,60.82681818181818,5.03326086956522
2019-04-01,22.79,63.862380952380946,5.0797619047619
2019-03-01,23.85,58.151428571428575,5.2452380952381
2019-02-01,23.85,54.95473684210527,6.501
2019-01-01,23.85,51.37571428571429,8.28565217391304
2018-12-01,24.13,49.522777777777776,8.95190476190476
2018-11-01,24.13,56.963499999999996,9.77727272727273
2018-10-01,24.13,70.74869565217391,10.035652173913
2018-09-01,23.65,70.2321052631579,11.0905
2018-08-01,23.65,68.05565217391305,10.5904347826087
2018-07-01,23.65,70.98142857142857,9.97227272727273
2018-06-01,22.15,67.87333333333333,10.437619047619
2018-05-01,22.15,69.97818181818182,8.61260869565217
2018-04-01,22.15,66.25380952380952,7.47523809523809
2018-03-01,21.56,62.724761904761905,8.46090909090909
2018-02-01,21.56,62.22947368421052,10.471
2018-01-01,21.56,63.698571428571434,11.6695652173913
2017-12-01,20.3,57.8815,10.7090476190476
2017-11-01,20.3,56.63857142857143,9.57142857142857
2017-10-01,20.3,51.57772727272727,8.79272727272727
2017-09-01,20.72,49.822,7.08428571428571
2017-08-01,20.72,48.03695652173913,6.13086956521739
2017-07-01,20.72,46.630526315789474,5.63190476190476
2017-06-01,21.39,45.177727272727275,5.52363636363636
2017-05-01,21.39,48.47636363636364,5.7190625
2017-04-01,21.39,51.060526315789474,5.7095
2017-03-01,20.2,49.32782608695652,5.79478260869565
2017-02-01,20.2,53.46842105263158,7.128
2017-01-01,20.2,52.504,9.17409090909091
2016-12-01,19.13,51.9704761904762,7.09
2016-11-01,19.13,45.66095238095238,7.16
2016-10-01,19.13,49.775238095238095,7.93
2016-09-01,19.27,45.18238095238095,7.79
2016-08-01,19.27,44.72434782608696,7.42
2016-07-01,19.27,44.6515,6.85
2016-06-01,17.68,48.75727272727273,7.08
2016-05-01,17.68,46.712380952380954,6.81
2016-04-01,17.68,40.7552380952381,6.68
