Date,low_tension_domestic,oil_price_usd_barrel,lng_price_usd_MMBtu
2014-09-01,25.68,93.21190476190476,15.7
2014-08-01,25.68,96.53619047619047,16.23
2014-07-01,25.68,103.58863636363638,17.43
2014-06-01,25.73,105.7942857142857,17.51
2014-05-01,25.73,102.17714285714285,17.68
2014-04-01,25.73,102.06904761904761,17.67
2014-03-01,25.65,100.80380952380953,17.81
2014-02-01,25.65,100.81736842105263,17.96
2014-01-01,25.65,94.61714285714285,17.76
2013-12-01,26.08,97.6252380952381,17.72
2013-11-01,26.08,93.864,16.71
2013-10-01,26.08,100.53826086956522,16.49
2013-09-01,25.95,106.2895,17.01
2013-08-01,25.95,106.57272727272726,17.0
2013-07-01,25.95,104.67090909090908,16.98
2013-06-01,26.7,95.77250000000001,17.69
2013-05-01,26.7,94.50954545454546,16.94
2013-04-01,26.7,92.02136363636363,17.71
2013-03-01,26.28,92.9385,18.31
2013-02-01,26.28,95.30894736842104,17.72
2013-01-01,26.28,94.75666666666667,17.79
2012-12-01,27.27,87.8595,17.52
2012-11-01,27.27,86.53142857142858,16.83
2012-10-01,27.27,89.4913043478261,17.27
2012-09-01,28.08,94.51368421052632,18.76
2012-08-01,28.08,94.13130434782609,18.39
2012-07-01,28.08,87.8952380952381,19.1
2012-06-01,28.78,82.30333333333333,19.38
2012-05-01,28.78,94.65454545454546,18.33
2012-04-01,28.78,103.321,19.57
2012-03-01,27.59,106.15772727272729,18.42
2012-02-01,27.59,102.204,16.71
2012-01-01,27.59,100.2735,17.46
